tweet_id,date,username,tweets,hashtags,replies,retweets,likes
1195997684420825088,2019-11-17 11:30:43,@ALEXALEJANDRA10,"El viajero se detiene en pocos lugares, sabe reconocer el viento y la penumbra, vislumbrar cada latido desde el umbral de una mirada y la esencia de la aventura que le guía,,,  #microcuento #LetrasYLatidos #amanecer #bitcoin #F1 #GiletsJaunes #MotoGPpic.twitter.com/ONBic3Zndh",#microcuento #LetrasYLatidos #amanecer #bitcoin #F1 #GiletsJaunes #MotoGP,0,1,14
1195959755950448640,2019-11-17 09:00:00,@HeiberBarreto,  Sólo #bitcoin supera a Libra en popularidad   #Criptomonedashttps://www.morocotacoin.com/2019/07/solo-bitcoin-supera-a-libra-en-popularidad/ …,#bitcoin #Criptomonedas,0,0,0
1195855273853800448,2019-11-17 02:04:49,@ClobigAnalyzer,Conoce estas 11 predicciones del precio de #bitcoin para la próxima década pic.twitter.com/HYBG7hToKF,#bitcoin,0,0,0
1195781342358732800,2019-11-16 21:11:03,@CriptosisCom,Usan tecnología del bitcoin para garantizar nutrición infantil https://www.proceso.com.mx/606985/usan-tecnologia-del-bitcoin-para-garantizar-nutricion-infantil … #bitcoin pic.twitter.com/O46VexGcPG,#bitcoin,0,0,0
1195682828186349568,2019-11-16 14:39:35,@ClobigAnalyzer,Surgen dos cadenas durante bifurcación programada de #Bitcoin Cash pic.twitter.com/muSy0BK8Ur,#Bitcoin,0,0,0
1196029992024657921,2019-11-17 13:39:05,@ObtenerBitcoin,"Actualidad : Desde casas, hoteles, playas y hasta una isla: 127 propiedades se venden con Bitcoin en Latinoamérica https://ift.tt/33Ux9TJ  #bitcoin",#bitcoin,0,0,0
1195959756575260673,2019-11-17 09:00:00,@morocotacoin,  Sólo #bitcoin supera a Libra en popularidad   #Criptomonedashttps://www.morocotacoin.com/2019/07/solo-bitcoin-supera-a-libra-en-popularidad/ …,#bitcoin #Criptomonedas,0,0,0
1195543465616121856,2019-11-16 21:54:30,@Sir_Cryto,En Venezuela y el mundo entero. Pero lo que hay que saber es que con dinero traditional ($€£) se lava 1000 veces más. No hay que satanizar el #bitcoin pic.twitter.com/xDZVpql8vn,#bitcoin,1,0,2
1195758746858901504,2019-11-16 19:41:16,@LibertadenDolar,"ELEVATIONTRADE Gana hasta 12% DIARIO - NUEVA INVERSION Tutorial Español Elevation Trade Información AQUí: https://bit.ly/37gHwDt  Únete a mi Equipo Elevationtrade: https://bit.ly/37gHwDt  Retwittea!! Gracias, un Abrazo!  #elevationtrade #bitcoin #btcpic.twitter.com/bWzw03zHor",#elevationtrade #bitcoin #btc,0,0,0
1195743360977211398,2019-11-16 18:40:07,@ClobigAnalyzer,Dos cadenas compiten luego de la bifurcación programada de #Bitcoin Cash pic.twitter.com/pRu5Tjw31Q,#Bitcoin,0,0,0
1195519436578598912,2019-11-16 03:50:20,@emilianox,Un gustazo haber podido dar mi charla:”Deep & Dark Web” en #MarketingLive2019 @ucalp // Muchas Gracias a la organización y a l@s asistentes  #DeepWeb #DarkWeb #blockchain #bitcoin #awarenesspic.twitter.com/gabf5p6WEa,#MarketingLive2019 #DeepWeb #DarkWeb #blockchain #bitcoin #awareness,2,11,29
